Run ID,Date,Total,Passed,Failed,Skipped,Timed Out,Pass Rate (%),Duration (ms)
"9cadb84f-4615-4eb5-aee9-3d7230532f86","6/10/2026, 8:15:04 PM",4,4,0,0,0,100,2449.589
"871a87f1-f31b-4d47-a6a3-26b8e830761b","6/10/2026, 6:15:04 PM",4,4,0,0,0,100,1565.299
"23c72906-7448-42b1-bda5-51908315da40","6/10/2026, 4:15:04 PM",4,4,0,0,0,100,1526.5010000000002
"b74943ff-1580-450b-a530-584474423686","6/10/2026, 2:15:04 PM",4,4,0,0,0,100,1464.9140000000002
"9a86f100-61bb-4036-b4f5-c19fd557925c","6/10/2026, 12:15:03 PM",4,4,0,0,0,100,1395.257
"0b384577-7d3e-4455-8c5b-b50931dbedf2","6/10/2026, 10:15:03 AM",4,4,0,0,0,100,1393.306
"8444eba8-cdcb-464a-944b-762f4ca7306e","6/10/2026, 8:15:04 AM",4,4,0,0,0,100,1330.259
"487440ed-b387-47c7-91f1-27384d61dcb6","6/10/2026, 6:15:03 AM",4,4,0,0,0,100,1449.037
"b1ec869c-d94e-4f4d-901c-ac2737be0790","6/10/2026, 4:15:03 AM",4,4,0,0,0,100,1371.996
"84d2777a-a9a5-4a8a-97ff-34c6fc7cce99","6/10/2026, 2:15:03 AM",4,4,0,0,0,100,1404.825
"0332ecc4-0134-4ce4-8e0e-bb3a8d8116db","6/10/2026, 12:15:04 AM",4,4,0,0,0,100,1499.2759999999998
"a944d57a-1442-4fd1-9765-88c24fd696ee","6/9/2026, 10:15:04 PM",4,4,0,0,0,100,2232.9770000000003
"ee447091-413c-4175-b833-fecd1d730000","6/9/2026, 8:15:03 PM",4,4,0,0,0,100,1472.28
"411717f0-3643-4b02-8e48-2abec0ec2aa3","6/9/2026, 6:15:03 PM",4,4,0,0,0,100,1587.8450000000003
"f8d60e13-af28-44a7-ac4a-15693064a19c","6/9/2026, 4:15:03 PM",4,4,0,0,0,100,1550.7399999999998
"d54cce9c-a1a9-4479-bd46-10d1af60a1ef","6/9/2026, 2:15:04 PM",4,4,0,0,0,100,1386.214
"a1d455b2-de06-4527-a546-866a3f36ba6e","6/9/2026, 12:15:04 PM",4,4,0,0,0,100,1439.8049999999998
"255b1050-40bd-4c6f-8a55-1e9f645a61ae","6/9/2026, 11:31:36 AM",4,4,0,0,0,100,3472.6979999999994
"f3837637-c79a-47c3-a8e2-3022f1348083","6/9/2026, 11:22:06 AM",4,4,0,0,0,100,2178.4030000000002
